,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
230,08/03/2018,"₪2,225,000",לואי מרשל 22,6212-567-8,83,דירה בבית קומות 4 רביעית
231,05/02/2018,"₪2,700,000",דה האז 3,6212-539-13,60,דירה בבית קומות 3 שניה
232,28/01/2018,"₪1,300,000",יעקב דה-האז 12,6212-589-5,50,דירה בבית קומות 2 ראשונה
233,10/01/2018,"₪2,920,000",אריסטובול 6,6212-1150-2,58,דירה בבית קומות 2 ראשונה
234,03/01/2018,"₪4,700,000",מרים החשמונאית 8,6212-988-15,77,דירה בבית קומות 4 שלישית
235,24/12/2017,"₪1,710,000",מרים החשמונאית 14,6212-987-14,72,דירה בבית קומות 3 שניה
236,13/12/2017,"₪5,900,000",מרים החשמונאית 8,6212-988-18,118,דירה בבית קומות 4 רביעית
237,10/12/2017,"₪1,800,000",מרים החשמונאית 3,6212-1029-1,49,חנות  עמודים
238,23/11/2017,"₪6,100,000",מרים החשמונאית 8,6212-988-19,124,דירה בבית קומות 5 רביעית
239,20/11/2017,"₪2,150,000",פנקס 17,6212-1271-8,36,דירה בבית קומות 2 ראשונה
240,02/11/2017,"₪2,100,000",יהודה המכבי 8,6212-584-11,54,דירה בבית קומות 2 שניה
241,27/09/2017,"₪2,700,000",יהודה המכבי 16,6212-547-10,32,דירה בבית קומות 2 שלישית
242,13/09/2017,"₪2,150,000",אלעזר החורני 4,6212-640-11,50,דירה בבית קומות 2 שלישית
243,02/08/2017,"₪2,630,000",אבן גבירול 182,6212-972-18,44,דירה בבית קומות 2 שלישית
244,25/07/2017,"₪3,900,000",לואי מרשל 7,6212-1276-23,61,דירה בבית קומות 3 שלישית
245,18/07/2017,"₪3,680,000",ברנדייס 3,6212-1149-13,72,דירה בבית קומות 3 שניה
246,13/07/2017,"₪3,300,000",יעקב דה-האז 11,6212-925-3,78,דירה בבית קומות 4 ראשונה
247,12/06/2017,"₪2,600,000",יעקב דה-האז 12,6212-589-10,58,דירה בבית קומות 2 שניה
248,28/05/2017,"₪6,050,000",יהודה המכבי 12,6212-543-4,136,דירה בבית קומות 6 ראשונה
249,25/05/2017,"₪4,250,000",מרים החשמונאית 18,6212-987-42,75,דירה בבית קומות 3 שלישית
250,25/05/2017,"₪2,600,000",יעקב דה-האז 28,6212-927-7,57,דירה בבית קומות 2 שניה
251,05/04/2017,"₪2,800,000",מרים החשמונאית 13,6212-1016-14,66,דירה בבית קומות 3 ------
252,05/04/2017,"₪6,820,000",אלעזר החורני 9,6212-536-1,125,דירה בבית קומות 5 ראשונה
253,07/03/2017,"₪3,000,000",אנטיגונוס 13,6212-597-5,62,דירה בבית קומות 2.5 שניה
254,26/02/2017,"₪3,540,000",אנטיגונוס 3,6212-985-2,80,דירה בבית קומות 3 שניה
255,20/02/2017,"₪1,720,000",אנטיגונוס 11,6212-598-5,38,דירה בבית קומות 1.5
256,17/01/2017,"₪2,228,000",לואי מרשל 7,6212-1276-24,51,דירה בבית קומות 2 שלישית
257,15/01/2017,"₪2,700,000",אלעזר החורני 3,6212-542-4,65,דירה בבית קומות 3 -----
258,15/01/2017,"₪1,500,000",לואי מרשל 7,6212-1276-6,24,חנות  קרקע
259,11/12/2016,"₪2,400,000",יעקב דה-האז 12,6212-589-7,46,דירה בבית קומות 2 ראשונה
260,01/12/2016,"₪3,250,000",חוני המעגל 6,6212-991-19,68,דירה בבית קומות 3 שלישית
