,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
617,19/05/2004,"₪725,000",אבן גבירול 172,6212-1031-22,58,דירה בבית קומות 3 קרקע
618,19/05/2004,"₪1,450,000",אבן גבירול 172,6212-1031-22,58,דירה בבית קומות 3 קרקע
619,06/05/2004,"₪489,000",יהודה המכבי 6,6212-584-1,30,דירה בבית קומות 2 ראשונה
620,03/05/2004,"₪724,000",לואי מרשל 10,6212-1247-19,31,דירה בבית קומות 2 שניה
621,02/05/2004,"₪770,000",לואי מרשל 14,6212-605-8,65,דירה בבית קומות 2 שניה
622,14/04/2004,"₪1,153,000",יעקב דה-האז 6,6212-1040-11,78,דירה בבית קומות 4 שלישית
623,01/04/2004,"₪751,000",מרים החשמונאית 13,6212-1016-9,66,דירה בבית קומות 3 ------
624,24/03/2004,"₪405,000",יעקב דה-האז 1,6212-583-8,29,חנות  קרקע
625,16/03/2004,"₪1,031,000",ברנדייס 3,6212-1149-11,54,דירה בבית קומות 2 שניה
626,12/03/2004,"₪1,073,000",לואי מרשל 7,6212-1276-8,57,דירה בבית קומות 3 ראשונה
627,11/03/2004,"₪1,590,000",יהודה המכבי 12,6212-543-1,100,דירה בבית קומות 3 ראשונה
628,27/02/2004,"₪762,000",מרים החשמונאית 13,6212-1016-1,66,דירה בבית קומות 3 ------
629,16/02/2004,"₪888,000",לואי מרשל 7,6212-1276-13,61,דירה בבית קומות 2.5 ראשונה
630,11/02/2004,"₪694,000",מרים החשמונאית 13,6212-1016-7,66,דירה בבית קומות 3 ------
631,06/02/2004,"₪714,000",אריסטובול 10,6212-556-8,68,דירה בבית קומות 3 שניה
632,03/02/2004,"₪900,000",מרים החשמונאית 22,6212-1192-4,83,דירה בבית קומות 3 ראשונה
633,02/02/2004,"₪664,000",יעקב דה-האז 12,6212-589-7,33,דירה בבית קומות 2 ראשונה
634,22/01/2004,"₪356,000",יעקב דה-האז 1,6212-583-1,26,חנות  קרקע
635,15/01/2004,"₪2,174,000",אריסטובול 3,6212-550-2,82,דירה בבית קומות 4 -----
636,09/01/2004,"₪1,095,000",יעקב דה-האז 8,6212-1041-6,69,דירה בבית קומות 3 שלישית
637,03/01/2004,"₪588,000",מרים החשמונאית 22,6212-1192-4,83,דירה בבית קומות 3 ראשונה
638,31/12/2003,"₪766,000",מרים החשמונאית 13,6212-1016-17,66,דירה בבית קומות 3 ------
639,17/12/2003,"₪577,000",אנטיגונוס 15,6212-1250-17,46,דירה בבית קומות 2 רביעית
640,10/11/2003,"₪729,000",מרים החשמונאית 15,6212-971-16,79,דירה בבית קומות 3 שניה
641,22/10/2003,"₪970,000",מרים החשמונאית 18,6212-987-29,71,דירה בבית קומות 3 ראשונה
642,13/10/2003,"₪617,000",חוני המעגל 6,6212-991-64,52,דירה בבית קומות 2 שניה
643,12/10/2003,"₪773,000",לואי מרשל 11,6212-1252-6,37,דירה בבית קומות 2 שניה
644,27/08/2003,"₪961,000",אבן גבירול 182,6212-972-16,83,דירה בבית קומות 3 שניה
645,22/08/2003,"₪1,114,000",פנקס 19,6212-929-11,74,דירה בבית קומות 3 שניה
646,11/08/2003,"₪523,000",יעקב דה-האז 1,6212-583-4,23,חנות  קרקע
647,30/07/2003,"₪751,000",פנקס 15,6212-612-5,47,דירה בבית קומות 2 ראשונה
648,27/07/2003,"₪825,000",יהודה המכבי 14,6212-545-1,70,דירה בבית קומות 3 ראשונה
649,23/07/2003,"₪1,039,000",מרים החשמונאית 3,6212-1029-14,61,דירה בבית קומות 3 ראשונה
650,09/07/2003,"₪747,000",חוני המעגל 6,6212-991-20,58,דירה בבית קומות 2 שלישית
651,06/07/2003,"₪670,000",אנטיגונוס 7,6212-600-7,33,דירה בבית קומות 2 ראשונה
652,02/07/2003,"₪785,000",חוני המעגל 6,6212-991-58,57,דירה בבית קומות 2 ראשונה
653,19/06/2003,"₪853,000",דה האז 24,6212-955-11,10,דירה בבית קומות 2 שלישית
654,05/06/2003,"₪708,000",אנטיגונוס 15,6212-1250-16,45,2 רביעית
655,04/06/2003,"₪1,552,000",חוני המעגל 8,6212-1044-7,76,דירה בבית קומות 4 רביעית
656,28/05/2003,"₪750,000",אבן גבירול 182,6212-972-14,59,דירה בבית קומות 3 שניה
657,25/05/2003,"₪1,029,000",לואי מרשל 15,6212-562-5,60,דירה בבית קומות 3 ראשונה
