תאריך,גוש חלקה תת חלקה,תיאור,חדרים,קומה,שטח,מחיר
23.02.2023,7450-15-16,דירה בבית קומות,2,שלישית,53,"₪3,939,000.00 "
22.02.2023,6904-125-3,,6,שניה,193,"₪26,000,000.00 "
21.02.2023,7429-23-9,דירה בבית קומות,4,שלישית,85.53,"₪6,450,000.00 "
20.02.2023,7451-34-11,משרד,0,קרקע,295.4,"₪8,089,000.00 "
19.02.2023,6907-54-30,משרד,0,שניה,,"₪850,000.00 "
16.02.2023,07/07/7450,דירה בבית קומות,3,ראשונה,69,"₪4,670,000.00 "
15.02.2023,7431-17-8,דירה בבית קומות,1,מרתף,26.27,"₪2,200,000.00 "
15.02.2023,6925-132-1,חנות,1,ראשונה,52,"₪975,000.00 "
15.02.2023,07/02/7450,,3,,69,"₪4,670,000.00 "
14.02.2023,7451-34-9,משרד,0,קרקע,26.3,"₪430,000.00 "
14.02.2023,6911-119-6,דירה בבית קומות,4,שלישית,69.1,"₪4,900,000.00 "
14.02.2023,7226-73-6,דירה בבית קומות,3,קומה 1,64.41,"₪3,350,000.00 "
14.02.2023,6909-122-3,דירה בבית קומות,2,חמישית,63,"₪5,750,000.00 "
13.02.2023,6911-43-11,דירה בבית קומות,2.5,שלישית,59,"₪3,850,000.00 "
12.02.2023,7444-13-0,קרקע למגורים,0,,414,"₪5,103,000.00 "
09.02.2023,7460-24-7,חנות,0,ראשונה,43,"₪1,000,000.00 "
08.02.2023,7085-116-7,משרד,0,ראשונה,,"₪600,000.00 "
07.02.2023,7227-23-3,דירה בבית קומות,3,ראשונה,75,"₪5,312,000.00 "
06.02.2023,6911-69-3,דירה בבית קומות,2,ראשונה,58,"₪3,690,000.00 "
05.02.2023,6920-15-13,דירה בבית קומות,4,שלישית,85.77,"₪2,391,000.00 "
02.02.2023,7440-19-3,דירה בבית קומות,2,שניה,42,"₪3,640,000.00 "
01.02.2023,7085-148-14,דירה בבית קומות,3,רביעית,70.3,"₪1,891,000.00 "
01.02.2023,7434-18-22,דירה בבית קומות,2,שניה,62,"₪4,300,000.00 "
01.02.2023,6920-38-70,חניה,0,,,"₪6,000,000.00 "
31.01.2023,6918-42-1,דירת גג,3,חמישית,97,"₪5,000,000.00 "
30.01.2023,05/12/7445,דירה בבית קומות,3,ראשונה,61,"₪4,750,000.00 "
29.01.2023,7226-93-17,חניה,0,,,"₪340,000.00 "
29.01.2023,6907-29-19,דירה בבית קומות,4,עשרים ושלוש,125,"₪8,730,000.00 "
26.01.2023,7451-24-7,דירת גג,3,שלישית,33.21,"₪10,400,000.00 "
26.01.2023,7455-27-20,דירה בבית קומות,3,שלישית,65,"₪4,450,000.00 "
26.01.2023,6936-36-8,דירה בבית קומות,2,רביעית,48,"₪3,750,000.00 "
26.01.2023,02/16/6907,דירה בבית קומות,5,שמינית,136,"₪4,154,000.00 "
25.01.2023,6933-91-9,דירה בבית קומות,1,ראשונה,24,"₪1,350,000.00 "
25.01.2023,7434-22-2,דירה בבית קומות,2,-,57,"₪3,477,000.00 "
24.01.2023,6933-59-7,דירה בבית קומות,1,שניה,39.33,"₪2,700,000.00 "
24.01.2023,7453-25-8,דירה בבית קומות,4,קומה 4,120.1,"₪8,000,000.00 "
22.01.2023,7085-191-7,דירה בבית קומות,3,ראשונה,62,"₪2,300,000.00 "
19.01.2023,7085-160-11,דירה בבית קומות,3,קומה 3,83.5,"₪5,900,000.00 "
17.01.2023,7226-50-7,דירה בבית קומות,1.5,קרקע,27.85,"₪2,300,000.00 "
17.01.2023,7103-152-12,דירה בבית קומות,3,קומה 3,69.6,"₪3,990,000.00 "
17.01.2023,6909-21-9,דירה בבית קומות,3,ראשונה,98.37,"₪8,000,000.00 "
16.01.2023,7227-40-1,דירה בבית קומות,2,ראשונה,,"₪860,000.00 "
16.01.2023,6936-80-1,דירה בבית קומות,5,ראשונה,110,"₪7,050,000.00 "
15.01.2023,7430-37-5,,4,שניה,,"₪50,000.00 "
12.01.2023,6909-26-20,דירה בבית קומות,4,חמישית,118,"₪8,500,000.00 "
11.01.2023,6933-136-99,דירה בבית קומות,3,שניה,86.5,"₪1,604,000.00 "
11.01.2023,7462-24-4,דירה בבית קומות,2,רביעית,47,"₪3,400,000.00 "
09.01.2023,7103-28-14,דירה בבית קומות,2,שלישית,43,"₪3,400,000.00 "
08.01.2023,04/01/6936,משרד,0,ראשונה,86,"₪3,800,000.00 "
05.01.2023,6918-25-9,חנות,0,קרקע,,"₪1,400,000.00 "
04.01.2023,6911-16-12,דירה בבית קומות,2.5,----,43,"₪3,250,000.00 "
04.01.2023,6933-31-0,משרד,0,ראשונה,434,"₪5,500,000.00 "
04.01.2023,7441-20-3,קומבינציה,1,ראשונה,,"₪17,669,000.00 "
03.01.2023,6910-21-4,דירה בבית קומות,2,קרקע,64.1,"₪5,050,000.00 "
03.01.2023,7226-93-18,דירה בבית קומות,2,רביעית,61,"₪3,344,000.00 "
02.01.2023,6933-134-4,דירה בבית קומות,2,שניה,54,"₪3,450,000.00 "
02.01.2023,7226-93-11,,2,שניה,46,"₪3,344,335.00 "
02.01.2023,7226-93-12,,2,שניה,48,"₪3,348,116.00 "
02.01.2023,7226-93-14,,2,רביעית,48,"₪3,486,967.00 "
02.01.2023,7226-93-15,,2,רביעית,49,"₪3,545,316.00 "
02.01.2023,7226-93-16,,3,שניה,61,"₪4,216,885.00 "
02.01.2023,6933-134-8,דירה בבית קומות,3,שלישית,67,"₪4,300,000.00 "
02.01.2023,6933-134-9,דירה בבית קומות,3,שלישית,67,"₪4,450,000.00 "
01.01.2023,6933-34-1,חנות,0,קרקע,80.1,"₪3,050,000.00 "
01.01.2023,01/12/7429,דירה בבית קומות,2.5,שניה,56,"₪4,160,000.00 "
29.12.2022,6907-71-18,דירה בבית קומות,2,רביעית,48.19,"₪3,755,000.00 "
29.12.2022,7422-101-1,משרד,0,קרקע,161.8,"₪12,500,000.00 "
29.12.2022,6936-17-8,דירה בבית קומות,3,ראשונה,64,"₪3,980,000.00 "
28.12.2022,7422-69-17,משרד,0,שלישית,85,"₪3,500,000.00 "
27.12.2022,6904-138-2,דירה בבית קומות,3,קומה 1,69,"₪4,950,000.00 "
22.12.2022,03/05/7446,דירה בבית קומות,3,שלישית,73,"₪4,700,000.00 "
20.12.2022,6913-17-1,משרד,0,"מרתף,קרקע",473.4,"₪16,400,000.00 "
19.12.2022,6909-35-4,דירה בבית קומות,1,ראשונה,61.2,"₪4,333,000.00 "
19.12.2022,6909-35-9,דירה בבית קומות,1,שניה,61.2,"₪4,454,000.00 "
19.12.2022,6909-35-0,קומבינציה,0,,874,"₪4,653,000.00 "
19.12.2022,6909-35-13,דירה בבית קומות,1,שלישית,57.36,"₪5,302,000.00 "
19.12.2022,6909-35-16,דירה בבית קומות,1,שלישית,59.16,"₪5,488,000.00 "
19.12.2022,7245-14-2,,5,עשרים ושמונה,184,"₪26,663,688.00 "
13.12.2022,6920-38-71,דירה בבית קומות,5,רביעית,103,"₪9,550,000.00 "
12.12.2022,6904-116-0,קרקע למגורים,0,,262,"₪70,000.00 "
12.12.2022,7226-45-1,דירה בבית קומות,1,קרקע,,"₪950,000.00 "
12.12.2022,6907-150-10,דירה בבית קומות,3,רביעית וגג,75.08,"₪4,600,000.00 "
12.12.2022,6911-127-4,דירה בבית קומות,3,רביעית,68,"₪5,380,000.00 "
11.12.2022,6909-22-28,דירה בבית קומות,3,שלישית,85,"₪7,230,000.00 "
06.12.2022,7437-18-8,דירה בבית קומות,2,קרקע,46.1,"₪3,990,000.00 "
06.12.2022,7429-52-5,דירה בבית קומות,3,רביעית וחמישית,64.2,"₪5,350,000.00 "
06.12.2022,7085-116-6,דירה בבית קומות,2,שניה,40,"₪2,400,000.00 "
05.12.2022,6937-67-60,ללא תיכנון,0,,,"₪20,000,000.00 "
01.12.2022,7430-46-4,דירה בבית קומות,2,ראשונה,64,"₪4,200,000.00 "
30.11.2022,6907-54-62,משרד,0,חמישית,24.9,"₪730,000.00 "
29.11.2022,6941-77-10,דירה בבית קומות,4,שלישית,64,"₪4,600,000.00 "
27.11.2022,6941-131-7,דירה בבית קומות,2,שניה,70,"₪3,300,000.00 "
27.11.2022,6936-63-1,דירה בבית קומות,4,ראשונה,91,"₪6,900,000.00 "
24.11.2022,6911-71-7,דירה בבית קומות,2,ראשונה,41.64,"₪2,870,000.00 "
24.11.2022,6941-95-16,משרד,0,ראשונה,,"₪95,000,000.00 "
21.11.2022,09/01/7438,דירה בבית קומות,4,שלישית,119,"₪10,250,000.00 "
20.11.2022,10/09/7462,דירה בבית קומות,3,ראשונה,64,"₪4,388,000.00 "
17.11.2022,6910-29-8,דירה בבית קומות,3,ראשונה,63,"₪3,610,000.00 "
17.11.2022,6933-21-22,דירה בבית קומות,3,קומה 4,56.9,"₪2,600,000.00 "
17.11.2022,6911-154-5,דירה בבית קומות,3.5,שניה,71,"₪5,350,000.00 "
